inference,Description,score,short rationale
Full-context classification of anomalies as user-present sessions vs unattended leaks,"For each flow anomaly alert, align it with usage log sessions, flow rate history, temperature trends, and proximity data; alerts that overlap active sessions, continuous flow, stable comfort-range temperatures, and presence indicate user-present abnormal use, while alerts with sustained flow, elevated or stable temperatures, no session, and no presence indicate unattended leaks.",4,"Full stack of signals separates occupancy vs absence during anomalies, revealing when people are present."
Leak likelihood scoring using multi-signal absence and warm flow,"Score anomaly alerts by checking for lack of overlapping usage sessions and proximity, combined with sustained non-zero flow and temperatures above cold baseline in the flow history; the combination of warm continuous flow, no session, and no presence yields very high leak-likelihood.",4,"Warm continuous flow without sessions/presence signals leaks during absence."
Detection of hot-water leaks that begin after normal sessions end,"Find cases where a normal-looking usage session ends in the logs and proximity disappears, but shortly afterward a flow anomaly alert fires while the flow history shows continuous warm flow and no new session; this pattern reveals post-use valve failures causing hot-water leaks.",4,"Catches warm flow continuing after users leave, exposing absence periods."
Scalding-risk anomaly episodes inside active sessions under presence,"During usage sessions with confirmed proximity and significant flow, flag anomaly alerts where temperature spikes above a configured scald threshold; this combination identifies dangerous events where users are directly exposed to excessively hot water.",4,"Directly links unsafe temperatures to present users."
Cold-shock anomalies that cause session interruption,"Within sessions, detect anomaly alerts where flow conditions change and temperature rapidly drops below the user’s typical comfort band while proximity is active, followed by early session termination in the logs; this reveals cold-shock events that drive users to stop using the fixture.",4,"Tracks cold shocks that make users stop sessions, reflecting individual reactions."
Energy footprint of anomaly events relative to total daily use,"For each anomaly alert, integrate abnormal flow from the flow history and weight it by temperature elevation over baseline, then compare this energy to total session-based hot-water use from logs; this shows what fraction of daily energy use is due to abnormal, presence-tagged or unattended events.",3,"Quantifies abnormal energy share per day tied to specific anomaly windows."
"Session-type-specific anomaly profiling (e.g., long evening showers)","Group usage sessions by type, such as long evening showers or short handwashing, using logs and proximity patterns, then analyze which groups overlap the most anomaly alerts with significant flow and temperature deviations; this reveals which routines are most prone to abnormal usage.",4,"Associates anomalies with particular routines/times, profiling user habits."
Detection of users running showers primarily to heat the room,"Identify sessions where flow history shows sustained high flow and warm temperatures, but proximity logs show intermittent or low presence after an initial setup period, combined with occasional anomaly alerts; this pattern suggests water is being used to heat the room rather than for continuous bathing.",4,"Reveals intentional hot-water use without presence, indicating non-hygiene behavior."
"Child-safe anomaly escalation based on height, temperature, and session context","When anomaly alerts occur in sessions with presence patterns indicative of children (shorter height or shorter stays), elevated or rapidly changing temperatures, and moderate to high flow, automatically escalate alerts and consider emergency shutoff since a vulnerable user is likely involved.",5,"Infers child involvement during risky temperatures, highly sensitive."
Differentiating infrastructure failures from user misuse anomalies,Compare anomaly alerts where abnormal flow persists without sessions or presence (infrastructure failures) to alerts where abnormal flow and extreme temperatures occur during long sessions with continuous presence and repeated user adjustments (misuse); the multi-signal patterns support clear categorization.,3,"Separates leaks/failures from misuse, implying user-driven extremes."
Crowd-driven anomaly identification in multi-fixture environments,"Use usage logs and proximity to detect periods of many overlapping short sessions and dense presence, then correlate with spikes in total flow history and clustered anomaly alerts; this reveals anomalies arising from crowd-induced peak demand and pressure variations.",4,"Exposes crowding periods and co-occupancy patterns linked to anomalies."
