inference,Description,score,short rationale
Hot-water line leak identification,"When flow anomaly alerts coincide with sustained temperatures significantly above the cold-water baseline, it indicates that the anomaly is affecting the hot-water side of the system rather than a cold or mixed line, helping localize leaks to hot-water circuits.",2,"Localizes leaks but limited behavioral exposure."
Cold-water or mixed-line anomaly identification,"Flow anomaly alerts that occur while measured temperatures remain close to ambient or cold baseline suggest that the anomaly is in cold or mixed lines, distinguishing these from hot-only problems and guiding targeted inspection.",1,"Line localization with minimal personal insight."
Scalding-risk anomaly detection,"Anomalies where temperature trends show rapid spikes to unsafe levels at the same time an alert is raised indicate scalding-risk events, prioritizing those anomalies for urgent intervention compared to anomalies at safe temperatures.",3,"Reveals unsafe temperature events during potential use windows."
Heater capacity limit detection during anomalies,"When flow anomaly alerts coincide with a noticeable drop in outlet temperature relative to normal operation, it suggests the system is drawing more hot water than the heater can sustain, revealing capacity limits under extreme demand.",2,"Shows peak-demand periods with moderate occupancy signal."
Distinguishing leaks from high-demand hot-water usage,"If an anomaly corresponds to a long period of moderate flow but temperature stays relatively stable at hot setpoint, it is more consistent with a continuous leak; anomalies where temperature fluctuates as users adjust settings are more likely heavy legitimate use.",3,"Differentiates leaks vs user adjustments, linking to usage patterns."
Thermostatic mixing valve malfunction identification,"Flow anomaly alerts accompanied by large oscillations in measured temperature, despite steady or slightly elevated flow, suggest a malfunctioning thermostatic mixing valve causing unstable hot–cold mixing during abnormal flow conditions.",1,"Equipment fault detection with minimal personal data."
Boiler or heater short-cycling detection,"Anomalies marked by frequent, repeated alerts over a short period while temperature trends show cyclical heating and cooling indicate that the boiler or heater is short-cycling under abnormal flow demands.",1,"System behavior insight, not user-specific."
Thermal stress hotspot detection in plumbing,"Repeated anomaly alerts at very high temperatures over time indicate sections of the system that experience frequent thermal stress, increasing the risk of scale buildup, material fatigue, or joint failure in those zones.",1,"Infrastructure stress info with little behavioral exposure."
Seasonal impact on anomaly temperature characteristics,"By comparing temperature profiles of anomaly events across seasons, the system can reveal whether anomalies in winter tend to push heaters to maximum temperature, while summer anomalies may be more associated with mixed or cold flows.",2,"Seasonal trend, low identifiability."
Detection of overheating during low-flow anomalies,"Flow anomaly alerts with relatively low flow but unusually high temperatures suggest inefficiencies where water is being overheated during minor abnormal usages, potentially due to miscalibrated setpoints or faulty thermostats.",2,"Shows overheating during small events, modest behavior link."
Pipe freeze-risk anomaly identification,"Anomalies where temperatures remain near freezing or abnormally low during flow alerts, especially in cold seasons, indicate conditions where pipes may be exposed to freezing risk despite water movement.",1,"Safety risk identification with minimal personal detail."
