inference,Description,score,short rationale
Classify anomalies as user-present hot events vs unattended leaks,"Combine each flow anomaly alert window with proximity data and temperature trends; alerts where temperature is elevated and no proximity is detected suggest unattended hot-side leaks, whereas alerts with both high temperature and active presence imply user-driven extreme usage.",4,"Presence plus temperature separate user-driven events from unattended leaks, revealing occupancy windows."
Leak likelihood scoring from absence of presence and elevated temperature,"For every anomaly alert, check for overlapping proximity activations and the temperature level; anomalies with sustained warm or hot temperatures but no nearby presence receive a high leak-likelihood score compared to those occurring during active user presence.",4,"Warm flow without presence signals leaks during idle periods, indicating absence."
Scalding-risk anomaly detection during actual user presence,"Identify anomaly alerts where temperature exceeds a scalding threshold while proximity indicates a user is in front of the fixture, marking those events as high-priority scalding risks rather than harmless high-temperature spikes when no one is present.",4,"Directly ties unsafe temperature to an identified present user."
Cold-shock anomaly detection while user is under the water,"For anomalies where temperature abruptly drops far below the user’s normal range and proximity remains active, classify them as cold-shock anomalies that directly affect the user instead of simple cooling when the area is unoccupied.",4,"Captures cold shocks hitting someone currently present."
Hot-side vs cold-side anomaly localization using presence context,"When anomaly alerts occur with elevated temperatures and no presence, they likely indicate hot-side leaks; anomalies at near-ambient temperatures without presence are more consistent with cold-line leaks, especially if no user-triggered proximity is recorded.",3,"Infers leak side using temperature and absence, modestly revealing occupancy gaps."
Energy waste estimation for unattended hot anomalies,"For anomaly alerts with high temperatures and no proximity, integrate the abnormal hot-water duration and map it to energy consumption, quantifying how much energy is wasted by hot water running when no user is present.",3,"Quantifies hot-water waste during absence; moderate occupancy inference."
Presence-informed anomaly severity ranking,"Rank anomaly alerts by combining presence and temperature: high temperature plus no presence is most severe, moderate temperature with presence is less critical, and low temperature with no presence is mainly a water-loss concern.",3,"Severity driven by presence/temperature context, implying when users are around."
Sensor misalignment detection via comfort anomalies without presence,"If anomaly alerts repeatedly show comfort-range or hot temperatures for extended periods, but proximity never detects presence during those windows, it suggests that users are in the spray zone while sensors are pointed elsewhere or obstructed.",3,"Suggests untracked presence, indicating activity despite missing detections."
Crowd-driven anomaly detection in shared spaces,"Anomaly alerts that coincide with high-frequency or overlapping proximity activations and warm temperature spikes represent crowd-driven anomalies, where intense concurrent use pushes the system into abnormal thermal and flow states.",4,"Reveals co-occupancy crowding patterns and usage peaks."
"Detection of short, risky ‘test blasts’ of hot water","Short anomaly alerts where temperature rapidly spikes to near-scorching levels while proximity shows brief user presence imply users quickly testing how hot water gets, representing risky behavior patterns that may warrant education or stricter limits.",4,"Identifies risky hot tests tied to specific user actions."
Anomaly-triggered user intervention detection,"During anomaly windows, look for bursts of proximity activity followed by a rapid return of temperature to normal ranges; this pattern suggests that users notice abnormal temperature behavior and intervene to adjust or turn off the water.",3,"Observes reaction timing and user responsiveness to anomalies."
Distinguish transient thermal glitches from persistent faults,"Transient anomalies with brief temperature deviations and minimal presence may be minor glitches, whereas repeated anomaly alerts with similar temperature patterns and presence profiles indicate persistent faults that recur under similar user conditions.",2,"Focuses on fault persistence with limited personal detail."
Seasonal pattern of presence-linked hot anomalies,Compare anomaly alerts during periods of active presence across seasons; more presence-linked hot anomalies in colder months versus lukewarm anomalies in hotter months show how environmental temperature interacts with user behavior to generate abnormal usage.,2,"Seasonal trend using coarse presence; low individual sensitivity."
Detection of presence during idle overheating,"Identify periods where temperature drifts upward or stays high, anomaly alerts fire, and proximity sees users nearby but without corresponding strong flow; this may indicate users noticing overheated fixtures even during low or no-flow conditions.",3,"Shows people near overheated fixtures outside active use."
Thermal shock avoidance behavior during anomalies,"Correlate sharp temperature changes during anomaly alerts with changes in proximity; if presence quickly drops when temperature deviates, users are actively avoiding thermal shock, even if water continues to run.",3,"Captures avoidance behavior and timing during unsafe temps."
Short child-associated presence during risky temperature anomalies,"Use shorter, lower-height proximity activations during anomaly alerts with elevated temperatures to infer potential child presence, marking those events as especially sensitive cases where child safety may be at risk.",5,"Infers child presence during high-temp risk, highly sensitive."
