inference,Description,score,short rationale
Classify anomalies as in-session versus idle-period events,"Align each flow anomaly alert timestamp with usage log intervals; alerts that occur entirely within an active usage session likely reflect intense but intentional water use, whereas alerts occurring when no session is logged indicate probable leaks or unintended flow.",3,"Separates user-driven from idle anomalies, revealing occupancy context."
Leak likelihood scoring based on absence of usage,"For each anomaly, check whether there is any overlapping usage log entry; anomaly events with no overlapping or nearby logged usage are given a higher leak-likelihood score than those that coincide with active sessions.",3,"Absence-based scoring exposes empty-window events."
Night-time anomaly criticality detection,Cross-reference anomaly timestamps with usage logs to find alerts that occur during hours when usage is normally minimal or absent; anomalies in these log-defined low-use periods are more likely to represent serious leaks rather than legitimate heavy use.,4,"Highlights night/low-use anomalies, revealing presence schedules."
Mapping anomalies to specific usage sessions,"When anomaly alerts overlap with usage log sessions, attach those alerts to the corresponding sessions to build a per-session anomaly history, which supports detailed analysis of problematic uses or fixtures.",3,"Ties anomalies to sessions, linking to user routines."
User response time to anomaly alerts,"Measure the time difference between an anomaly alert and the end of the overlapping usage log session; short delays suggest that users promptly stop water after being notified, while long delays imply either alert ignorance or poor visibility of alerts.",4,"Measures user reaction timing to alerts."
Detection of forgotten or stuck-on sessions,Identify very long usage log sessions that trigger anomaly alerts and continue far beyond the alert time; this pattern suggests a faucet or shower left running unintentionally or a valve stuck open.,4,"Shows prolonged unattended use; strong behavior signal."
False-positive anomaly identification from routine heavy sessions,"If anomaly alerts regularly occur during specific recurring long or high-frequency usage patterns in the logs (e.g., weekly cleaning sessions), those alerts can be tagged as likely false positives and used to refine anomaly thresholds for those time windows.",3,"Associates anomalies with known routines."
Usage-intensity–adjusted anomaly rate per fixture,"Using the number and total duration of sessions per fixture from usage logs together with anomaly counts associated with each fixture, compute an anomaly rate normalized by usage intensity (e.g., alerts per 100 hours of use) to compare the relative health of fixtures.",2,"Fixture health metric with modest behavior context."
Detection of chronic problem periods,Aggregate anomaly alerts by time-of-day or day-of-week and normalize by session counts from usage logs; times with disproportionately high anomaly-to-session ratios indicate chronic stress windows that may require configuration or hardware changes.,3,"Reveals routine stress windows tied to schedules."
Post-anomaly behavioral change analysis,"After a major anomaly event, examine subsequent usage logs to see whether average session durations or the frequency of long sessions decrease, indicating that users have altered behavior in response to alerts or repairs.",3,"Tracks behavior change after alerts."
Vacation or away-mode anomaly detection,"When usage logs show almost no sessions over a multi-day period, any anomaly alerts within that interval strongly suggest leaks or failures occurring while the premises are unoccupied.",4,"Exposes absence periods; high privacy sensitivity."
