inference,Description,score,short rationale
Classify anomalies as in-session hot-water events vs off-session leaks,"Align each flow anomaly alert with usage log sessions and temperature trends; alerts that overlap long hot-water sessions in the logs likely reflect extreme but intentional usage, while alerts outside any logged session with elevated temperatures suggest hot-side leaks when the system should be idle.",4,"Combines sessions and temperature to expose occupancy vs unattended leaks."
Leak likelihood scoring with thermal and session context,"For each anomaly alert, check if a usage session is active and whether temperature is in a typical comfort range. Alerts with no overlapping session and stable hot or lukewarm temperatures during the anomaly are given a high leak-likelihood score, distinguishing them from user-driven spikes.",4,"Absence plus warm temps highlight likely leaks during idle periods."
Night-time anomaly criticality under low expected use,"Use usage logs to identify hours with historically low or no sessions; anomaly alerts in these windows, especially when temperature trends show hot or warm water during the event, are critical indicators of off-hour leaks or failures rather than normal usage.",4,"Reveals off-hour hot events tied to absence."
Mapping anomalies to specific session types,"When anomaly alerts overlap usage sessions, examine the sessions’ duration from logs and their temperature profiles to determine which types of sessions (e.g., long hot showers vs short warm handwashing) tend to trigger abnormal usage patterns.",3,"Links anomalies to session types and routines."
Detection of forgotten hot showers after users leave,"Identify long usage sessions where anomaly alerts occur near the tail end, and temperature remains high even as session duration exceeds typical patterns; this combination indicates showers left running unintentionally rather than short, deliberate hot-water uses.",4,"Shows unattended hot flow after users depart."
Scalding-risk anomaly episodes in real usage windows,"Within logged sessions, detect anomaly alerts where temperature briefly or persistently exceeds a safety threshold; these represent scalding-risk episodes during actual user use, distinct from harmless high-temperature anomalies when no session is active.",4,"Captures user-present scalding risk moments."
Session-end anomaly association due to thermal discomfort,"Look for anomaly alerts that coincide with abrupt changes in temperature during active sessions and are followed quickly by session termination in the logs, suggesting that temperature-related anomalies cause users to end their showers or faucet use early.",4,"Reveals user reactions and early termination timing."
Detection of system overshoot during intense sessions,"For long, hot sessions in the usage logs, check whether anomaly alerts correspond to temperature overshoots relative to users’ usual comfort range; repeated overshoot anomalies in these sessions indicate thermal control issues under sustained demand.",3,"Shows overshoot during intense routines."
Seasonal anomaly pattern characterization,Compare anomaly alert frequency and associated temperature levels across seasons for similar session types in the logs; more hot-side anomalies in winter and more lukewarm anomalies in summer reveal how environmental conditions interact with user behavior to create abnormal usage.,2,"Seasonal trend with coarse behavioral signal."
Short-session anomaly detection indicating extreme behaviors,"Identify anomaly alerts that occur within very short sessions in the logs, especially when temperature rises or falls rapidly; these events indicate intense or unusual behaviors (e.g., rapid high-temperature bursts) rather than the longer patterns expected for typical showers.",3,"Highlights unusual extreme behaviors in short sessions."
Differentiating heater failures from user misconfiguration,"When anomaly alerts coincide with sessions where temperature never reaches the user’s typical comfort range despite normal or extended durations in the logs, the pattern suggests heater or supply failures rather than simple user misconfiguration of temperature.",2,"Fault vs user config with limited identity."
