inference,Description,score,short rationale
Classify anomalies as user-present vs user-absent with thermal context,"Align each flow anomaly alert window with usage log sessions, proximity presence, and temperature trends; alerts that overlap active sessions, elevated temperatures, and continuous presence reflect user-present abnormal events, while alerts with no session, no presence, and stable warm temperatures point to unattended faults or leaks.",4,"Multi-signal context distinguishes occupied events from unattended leaks."
"Leak likelihood scoring using absence of sessions, absence of presence, and warm temperature","For every anomaly alert, check whether there is a concurrent usage session, whether proximity shows a nearby user, and whether temperature is above ambient; anomalies with warm temperatures but no session and no presence receive the highest leak-likelihood scores.",4,"Warm flow plus absence strongly signals leaks during idle times."
Detection of unattended hot-water anomalies in off-hours,"Use usage logs to find time windows with historically minimal sessions, then flag anomaly alerts where temperature is warm and proximity shows no presence; these events indicate hot-water anomalies occurring when the building should be unused.",4,"Exposes off-hour hot anomalies tied to absence schedules."
Scalding-risk anomalies during real usage episodes,"Within usage sessions, isolate anomaly alerts where temperature exceeds scald thresholds while proximity confirms a user is in front of the fixture; these events mark high-priority scalding risk during active use, not just hot water circulating when no one is present.",4,"Captures user-present scalding moments."
Cold-shock anomalies experienced by users,Detect anomaly alerts in active sessions where temperature drops sharply below the user’s typical comfort range while proximity remains active; this combination reveals cold-shock events that users physically experience mid-use.,4,"Highlights cold-shock exposure with user present."
Abnormal session termination due to temperature anomalies,"Find sessions where a temperature-deviation anomaly occurs while presence is detected, followed almost immediately by session end in the logs; such patterns suggest that users terminate usage in response to uncomfortable or dangerous temperature spikes.",4,"Shows user reaction and termination timing."
"Detection of short, extreme ‘test blasts’ of hot water","Identify very short usage sessions that coincide with anomaly alerts and rapid temperature spikes to near-scorching values, with brief proximity presence; these represent risky test blasts where users quickly check the hottest possible water temperature.",4,"Identifies risky behavior with precise timing."
Differentiation between heavy demand and infrastructure failure anomalies,"Compare anomalies overlapping many sessions and dense proximity activity to those with few or no sessions and no presence; the former indicate heavy user-driven demand pushing the system beyond normal operation, while the latter suggest infrastructure failures independent of occupancy.",3,"Separates user-driven stress from vacant failures."
Classification of anomalies into user-misuse vs control-fault categories,"For anomalies occurring in long sessions with continuous presence and extreme or oscillating temperature, treat them as user-misuse if temperatures sit far outside comfort bands by user choice; anomalies where control attempts to stabilize temperature but fails repeatedly indicate control logic or sensor faults.",3,"Distinguishes misuse vs control faults using presence and temp."
Detection of partially logged abnormal usage,"When anomaly alerts coincide with sustained proximity presence and temperature changes, but only a fragment of that period is captured in the usage logs, the system can infer that some abnormal usage is not fully recorded as sessions.",3,"Infers unlogged usage periods tied to presence."
Idle overheating detection with nearby users but no sessions,"Identify periods where temperature increases or remains high, anomaly alerts trigger, proximity indicates people standing nearby, but no usage session is recorded; this suggests that users sense overheating or observe abnormal system behavior without actually starting water use.",3,"Shows nearby presence during idle overheating."
Sensor coverage validation using presence-free comfort anomalies,"Stimulated comfort-like temperature patterns during anomaly alerts, combined with typical session times but no proximity detection, indicate that users are likely present yet undetected, suggesting that the proximity sensor’s coverage is misaligned with where water is actually used.",3,"Infers undetected presence due to sensor blind spots."
