inference,Description,score,short rationale
Leak versus heavy-use anomaly classification,"Analyze the detailed flow rate pattern during each flow anomaly alert window; long, flat, low-to-medium flow suggests a leak, while high, structured flow with clear ramp-up and ramp-down indicates legitimate heavy water use such as cleaning or extended showering.",2,"Separates occupant-driven heavy use from leaks, modest behavioral signal."
Anomaly severity by abnormal volume,"Integrate the water flow rate history over the exact interval marked by each flow anomaly alert to compute the total abnormal water volume associated with that event, allowing ranking of anomalies by actual water loss or impact.",1,"Quantifies water loss only, little behavioral detail."
Burst pipe versus partially open fixture,"Use the gradient and magnitude of the flow rate history around anomaly alerts; very rapid jumps to very high flow suggest a pipe burst, while moderate increases that stabilize at a lower level indicate a partially open faucet or valve.",1,"Plumbing failure classification with no routine insight."
Detection of persistent micro-leaks below alert threshold,Inspect flow rate segments just below the anomaly threshold that occur frequently and for long durations; repeated near-threshold flow combined with occasional anomaly alerts reveals persistent micro-leaks that do not always trigger alerts on their own.,1,"Leak detection without linking to occupant habits."
False-positive anomaly identification,"Compare flow rate patterns tagged as anomalous with historical, previously accepted flow signatures; if repeated alerts coincide with flow shapes that match normal patterns, they can be classified as false positives and used to refine alert rules.",1,"Model quality check with minimal personal exposure."
Dynamic baseline adjustment for anomaly detection,"Use long-term flow rate history to compute time-of-day and day-of-week baselines, then analyze how often anomaly alerts occur against those baselines to auto-adjust thresholds so that alerts fire only when flow significantly exceeds context-aware expectations.",1,"Baseline tuning; does not directly reveal individuals."
Anomaly onset and offset refinement,"Refine the start and end timestamps of each flow anomaly alert by scanning the high-resolution flow rate history to find the precise moment when flow departed from and returned to normal levels, improving localization of the root cause.",2,"Pinpoints event timing, lightly exposing routine windows."
Multi-stage anomaly episode grouping,"Group consecutive flow anomaly alerts that occur over a continuous abnormal flow rate segment into a single multi-stage anomaly episode, differentiating between one long underlying problem and many small, independent issues.",1,"Aggregates events with negligible personal context."
Anomaly recovery verification,"After an anomaly alert and subsequent maintenance action, verify that the flow rate history returns to its previous baseline range and remains stable, confirming that the issue has been resolved instead of recurring in a hidden form.",1,"Checks stabilization; no behavioral detail."
Sensor or meter malfunction detection,"Identify anomaly alerts where the flow rate history shows impossible or highly erratic patterns (e.g., rapid spikes from zero to maximum and back within milliseconds) that do not match physical reality, suggesting faulty sensors or meters rather than true plumbing problems.",1,"Targets device faults, not occupant behavior."
Hotspot analysis of chronic anomaly zones,"Aggregate anomaly alerts and sum their associated abnormal volumes from the flow rate history per fixture or zone to identify hotspots where chronic high-impact anomalies occur most frequently, focusing maintenance resources where they are most needed.",2,"Reveals fixtures with repeated issues, modest location preference signal."
Nighttime anomaly risk characterization,Compute typical overnight flow baselines from the flow rate history and examine anomaly alerts that occur during these low-use periods; alerts at times when normal flow is near zero are far more likely to represent leaks or failures than legitimate use.,4,"Exposes night-time presence/absence patterns useful for profiling."
Water-hammer and pressure shock detection,"Within anomaly alert windows, analyze very short, high-magnitude spikes in the flow rate history along with rapid fluctuations; such patterns reveal water-hammer or pressure shock events that may damage plumbing even if total volume is low.",1,"Mechanical effect detection with no personal inference."
Progressive deterioration before major failure,"Track sequences of smaller anomaly alerts whose associated flow rate patterns show gradually increasing abnormal flow over time; this trend indicates progressive deterioration, such as a valve or pipe joint slowly failing before a major break.",1,"Focuses on plumbing deterioration, not user behavior."
Cost estimation for each anomaly event,"Translate the abnormal water volume derived from the flow rate history for each anomaly alert into a monetary cost using local water tariffs, enabling financial impact estimation per anomaly and prioritization of high-cost issues.",1,"Costing of events without behavioral specificity."
Anomaly type taxonomy from flow signatures,"Cluster anomaly alerts based on the shape of the flow rate history during each alert (e.g., sudden spikes, sustained plateaus, oscillations), creating a taxonomy of anomaly types that can be labeled as leaks, bursts, stuck valves, or sensor errors.",1,"Categorization of anomalies with no routine exposure."
Evaluation of anomaly detection model precision,"Compare anomaly alert labels with post-hoc classification of abnormal flow segments from the flow rate history to estimate how many flow anomalies were correctly flagged versus normal patterns incorrectly labeled, allowing precision/false-positive analysis.",1,"Model performance review; negligible personal data."
Evaluation of anomaly detection model recall,"Scan the flow rate history for unflagged periods that exhibit abnormal patterns similar to known anomalies; if these are not associated with anomaly alerts, they represent missed detections and can be used to improve the detection model’s recall.",1,"Missed anomaly analysis without personal context."
Event-driven auto-shutoff policy tuning,"Use abnormal flow magnitude and duration in each anomaly alert’s flow rate segment to determine which types of anomalies should trigger automatic shutoff versus user-only notifications, balancing safety with user experience.",2,"Ties severity to control actions, minor link to user impact."
