inference,Description,score,short rationale
Hot-water leak identification with abnormal temperature and flow,"When a flow anomaly alert fires and the flow history shows sustained non-zero flow while temperature remains significantly above the cold baseline, the event can be classified as a hot-water leak rather than a cold-line issue or brief demand spike.",3,"Identifies hot-side leaks using flow/temperature with limited routine detail."
Cold-line or mixed-line anomaly classification,"Flow anomaly alerts that coincide with abnormal flow but show temperature trends near ambient or cold baseline indicate anomalies on cold or mixed lines, distinguishing them from energy-intensive hot-water anomalies.",1,"Line classification with minimal personal exposure."
Scalding-risk anomaly detection under abnormal flow,"If a flow anomaly alert occurs while flow rate is high and temperature spikes above a scalding threshold, the event is tagged as a scalding-risk anomaly, prioritizing it for immediate response over anomalies at safe temperatures.",4,"Flags scalding moments likely affecting users."
Heater capacity stress during anomaly events,"When anomaly alerts occur at very high flow levels and the temperature profile simultaneously drops from normal setpoints, it indicates that the heater is operating beyond its capacity under abnormal demand conditions.",2,"System capacity insight with modest behavioral data."
Energy impact estimation of hot-side anomalies,"For anomaly alerts associated with elevated temperatures, integrate the hot-water portion of the flow during the alert period and convert it to thermal energy usage, quantifying the energy wasted by abnormal hot-water events.",2,"Energy costing of anomalies; limited identity risk."
Differentiation between user-driven extremes and system failures,"Compare flow and temperature patterns during anomaly alerts to typical user-driven peaks; if anomalies show erratic temperature swings or sustained extreme temperatures without the usual user pattern, they are more likely system failures than simply heavy usage.",3,"Separates user extremes from faults using behavior patterns."
Thermostatic mixing valve malfunction under anomalous conditions,"Flow anomaly alerts combined with large, rapid oscillations in temperature while flow remains relatively steady indicate instability in thermostatic mixing valves that only manifests under high or abnormal flow conditions.",1,"Mechanical fault detection with little personal data."
Water-hammer or pressure shock characterization with thermal context,"Short, sharp spikes in flow history that trigger anomaly alerts, accompanied by brief temperature fluctuations, suggest water-hammer events or pressure shocks whose thermal signatures show whether hot or cold lines are primarily affected.",1,"Physical event characterization; minimal behavioral info."
Progressive heater degradation signaled by anomaly–temperature patterns,"A growing number of anomaly alerts where the heater fails to maintain target temperature despite moderate abnormal flows indicates progressive heater degradation, especially if similar flows previously preserved stable temperatures.",2,"System degradation metric with low identity risk."
Seasonal anomaly risk related to temperature extremes,Compare anomaly alerts in different seasons with temperature levels during those events; increases in cold-related anomalies (low temperatures) in winter or overheated anomalies (very high temperatures) in summer reveal seasonal stress on the system.,2,"Seasonal trend; coarse behavioral link."
Pipe freeze-risk anomaly detection,"Anomaly alerts where flow history registers unusual patterns and temperature trends stay near freezing, especially in cold periods, indicate conditions under which pipes are at risk of freezing despite ongoing or recent water movement.",2,"Safety risk flag with limited personal detail."
