inference,Description,score,short rationale
Hot-water leak with no user present,"Flow anomaly alert fires while flow rate history shows sustained non-zero flow, temperature stays significantly above cold baseline, and proximity sensors report no recent activations, indicating a likely unattended hot-water leak rather than user-driven use.",4,"Warm flow with no presence exposes unattended hot leaks and absence windows."
Cold-line leak with no user present,"Anomaly alert coincides with low to moderate continuous flow in the history, temperature trends remain near ambient, and proximity shows no presence, suggesting a cold-line or mixed-line leak that wastes water but not much energy.",3,"Cold leak during absence; moderate privacy impact."
Scalding-risk anomaly under active user exposure,"During an anomaly alert, flow rate is high, temperature exceeds a scald threshold, and proximity indicates a person is in front of the fixture, revealing a scalding-risk event that directly affects the user instead of a harmless hot spike when no one is present.",4,"Directly ties scalding hazard to a present user."
Cold-shock anomaly experienced by user,"A flow anomaly alert marks a sudden change in flow conditions while temperature abruptly drops far below the recent comfort range and proximity remains active, indicating a cold-shock event the user actually experiences mid-use.",4,"Captures cold-shock experienced by a user."
Hot-side burst event with user nearby,"Flow history shows a short, high-intensity spike, temperature jumps up, an anomaly alert is triggered, and proximity detects a user at the same time, suggesting a hot-side burst or sudden valve opening while someone is close to the outlet.",4,"Links burst event to nearby user presence."
Water hammer / pressure shock localization by line type,"Very short anomaly alerts with sharp flow spikes and transient temperature jitter that occur while proximity shows presence can be tagged as water hammer events, classified as hot-side, cold-side, or mixed depending on the dominant temperature during the spike.",2,"Physical shock classification with limited personal data."
Energy waste estimation for unattended hot anomalies,"For anomaly alerts with sustained warm temperatures, continuous abnormal flow, and no proximity activations, integrate flow over the alert window and multiply by thermal rise above baseline to estimate energy wasted by hot water running without anyone present.",3,"Quantifies unattended hot waste, implying absence."
Detection of valves reopening after user leaves,"After proximity disappears and no user is near, an anomaly alert fires while flow history shows renewed flow and temperature returns to previous levels, indicating a valve that intermittently reopens on its own once users have departed.",4,"Shows unintended flow restarting post-departure."
Thermostatic control instability only under abnormal flow,"During anomaly alerts with unusual flow patterns, temperature trends start oscillating around the setpoint while proximity confirms someone is present; this indicates thermostatic control instability that appears only under abnormal hydraulic conditions.",3,"Reveals instability during user-present anomalies."
Leak triggered by high-demand usage,"Following a period of intense flow and elevated temperatures with active proximity (suggesting heavy usage), a flow anomaly alert occurs with persistent warm flow after proximity disappears; this suggests that high-demand events trigger post-use leaks.",3,"Ties post-use leaks to specific heavy-usage periods."
Thermal footprint mapping of leak locations,"Repeated anomaly alerts with similar flow magnitudes, similar temperature plateaus, and no proximity, clustered in time or device ID, allow mapping where in the system leaks occur and whether they are primarily hot or cold based on their thermal signature.",2,"Leak location mapping with minimal personal exposure."
Transient anomaly vs persistent fault classification,An anomaly alert where flow and temperature both quickly return to normal signature patterns and no additional proximity appears is classified as a transient system state; repeated alerts with similar flow–temperature–presence combinations indicate persistent faults.,2,"Fault persistence check; limited behavioral detail."
Seasonal variation of user-present hot anomalies,Compare anomaly events that occur during active proximity across seasons; clusters of high-temperature anomalies with users present in winter and more lukewarm anomalies in summer indicate how seasonal heating demands interact with user behavior to cause abnormal events.,2,"Seasonal trend with coarse behavior insight."
Presence-aware anomaly severity ranking,"Rank anomaly alerts using flow magnitude, temperature deviation, and presence: events with large abnormal flow, extreme temperature, and active proximity receive highest severity; those with mild flow deviation, mild temperature change, and no presence are lowest.",3,"Severity ranking using presence context."
Detection of child-associated dangerous anomalies,"If proximity sensors support height or zone discrimination, anomaly alerts with very hot or very cold temperatures that coincide with lower-height presence patterns can be interpreted as child-associated risky events, even without explicit identity data.",5,"Infers child presence during dangerous temperature events."
Idle overheating with user investigation but no usage,"An anomaly alert shows rising temperature with small flow disturbance, proximity detects brief user presence, but no regular flow pattern appears; this suggests users are checking a suspiciously hot fixture without committing to full use.",3,"Shows user investigation around idle overheating."
Anomaly-triggered user intervention detection,"During an anomaly alert window, a surge in proximity activity followed by rapid normalization of temperature and flow indicates that users responded to visible abnormal behavior and intervened to stop or correct the problem.",3,"Captures user response timing to anomalies."
