inference,Description,score,short rationale
Classify anomalies as in-session versus out-of-session events,"Align each flow anomaly alert with usage log intervals and inspect the detailed flow rate history; anomalies that occur fully inside a logged session are likely intense but user-driven, while anomalies outside any session with abnormal flow indicate leaks or unlogged system behavior.",3,"Labels anomalies relative to sessions, exposing occupancy intervals and routine usage patterns."
Leak likelihood scoring with session and flow context,"For every anomaly alert, check whether a usage log session overlaps with the alert and examine the flow rate pattern. Alerts without overlapping sessions and with sustained abnormal flow receive a high leak-likelihood score, while alerts inside sessions with typical flow curves score lower.",3,"Crosses anomalies with session overlaps to judge leaks, revealing when and how users run water."
Detection of forgotten or stuck-on fixtures,"Identify usage log sessions that extend far beyond typical duration while flow history remains high and anomaly alerts fire during the tail of the session, indicating taps or showers left running unintentionally or valves stuck in an open position.",4,"Flags excessively long sessions implying forgetfulness or unattended use, directly reflecting user behavior."
Severity ranking of anomalies by abnormal volume within sessions,"For each anomaly alert that overlaps a usage session, integrate the flow rate above normal for the duration of the alert to determine the extra water volume consumed, enabling ranking of in-session anomalies by their actual excess usage.",3,"Ranks extra volume within sessions, tying abnormal consumption to specific user activity levels."
Detection of ghost anomalies caused by logging gaps,"When anomaly alerts coincide with clearly abnormal flow in the history but no usage log session exists for that period, this suggests logging failures or untracked usage paths. Repeated ghost anomalies pinpoint gaps in session logging or unauthorized usage.",3,"Finds anomalies without session logs, hinting at unrecorded usage or presence during supposed inactivity."
User response time to high-severity anomalies,"For anomalies that overlap with usage sessions and represent high abnormal flow, measure the time from anomaly onset in flow history to the end of the session in the logs. Shorter response times indicate users quickly react to alerts or visible abnormal behavior.",4,"Measures reaction time from alert to session end, indicating individual attentiveness and responsiveness."
Pattern-based identification of anomalous session types,"Analyze session attributes (duration and frequency from logs), coupled with how often they trigger anomaly alerts and the shapes of their flow history, to identify specific session types—such as very long showers or heavy cleaning—that are prone to abnormal usage.",4,"Profiles session types prone to anomalies, surfacing habit patterns like long showers or cleaning."
Daypart-specific anomaly risk modeling,"Combine time-of-day information from usage logs with anomaly frequency and corresponding flow rate patterns to model which parts of the day, under which usage levels, produce the greatest risk of abnormal water use or failures.",3,"Models risk by time of day and usage level, revealing daily routines and occupancy windows."
Differentiation between heavy-use and failure anomalies,"When anomaly alerts occur during long or high-flow sessions indicated by logs, inspect the detailed flow profile. Smooth, sustained high flow suggests intentional heavy use, while irregular surges within a normal-length session point toward a failure or misconfiguration.",3,"Distinguishes intentional heavy use from failures via flow shapes, modestly reflecting use intensity."
Infrastructure capacity stress detection during peak sessions,Identify periods where multiple usage sessions overlap in the logs and total flow approaches or exceeds nominal capacity. Frequent anomaly alerts during these periods indicate system stress under peak demand that may require infrastructure upgrades.,2,"Checks overlapping sessions stressing capacity, mostly operational without user-level detail."
Vacation or away-mode anomaly detection,"Use usage logs to find multi-day windows with little or no sessions; any anomaly alerts within these windows, especially with non-zero flow in the history, are strong indicators of leaks or failures happening while the premises are unoccupied.",5,"Detects anomalies during prolonged absence, clearly exposing occupancy or away status."
Progressive degradation before major failures,Track sequences where small anomaly alerts with modest abnormal flow gradually increase in frequency or severity across sessions in the logs. This trend suggests progressive wear or deterioration preceding a major failure event.,2,"Tracks rising anomaly severity over time, primarily equipment health with little personal detail."
Evaluation of anomaly detection precision against flow and logs,"Compare anomaly alerts with the underlying flow histories and corresponding sessions; alerts that coincide with normal-looking flow in typical sessions represent false positives, guiding refinement of detection rules.",2,"Compares alerts to normal flow to find false positives; mainly model quality, low personal exposure."
Evaluation of anomaly detection recall using flow history,"Scan the flow rate history for abnormal patterns similar to those seen in alerted anomalies but lacking any corresponding alerts. When cross-referenced with sessions, these missed events highlight where anomaly detection failed despite clear abnormal in-session or out-of-session usage.",2,"Looks for missed abnormal flows, focused on detection gaps rather than user behavior."
Anomaly impact scoring per fixture or zone,"Aggregate anomalies per fixture or zone, combining abnormal volumes derived from flow history with the number of affected usage sessions in the logs. This yields an impact score that ranks fixtures by how often and how severely they experience abnormal usage.",3,"Aggregates impact per fixture/zone, mildly revealing which locations see heavy abnormal use."
Short-session anomaly detection,"Identify anomalies that occur within very short sessions in the logs. These events, visible in the flow history as sharp spikes or surges, may indicate extreme behavior or sensitive thresholds, requiring special handling distinct from long-session anomalies.",3,"Flags anomalies in very short sessions, highlighting unusual quick-use behavior."
Contextual escalation rules for anomaly alerts,"Use the presence of a concurrent usage session and the abnormal flow magnitude to determine escalation level: anomalies with large abnormal flow and no session in logs trigger auto-shutoff, while anomalies during routine high-demand sessions may only require warnings.",3,"Sets escalation based on session presence and flow magnitude, inferring when users are active."
Detection of unlogged continuous abnormal flows between sessions,"Search for anomaly alerts with abnormal flow that bridge the gaps between logged sessions, indicating continuous abnormal usage that persists through idle periods and may be invisible if only sessions are monitored.",3,"Finds abnormal flows bridging idle periods, indicating unexpected activity between sessions."
