inference,Description,score,short rationale
Classify anomalies as in-session hot-water overuse vs off-session leaks,"Align each flow anomaly alert with usage log sessions, flow rate patterns, and temperature trends; alerts that occur during long, high-flow, high-temperature sessions indicate user-driven overuse, while alerts outside any session with sustained warm flow point to leaks when the system should be idle.",3,"Separates in-session overuse from off-session warm leaks, revealing when users are active versus idle windows."
"Leak likelihood scoring with flow, temperature, and session gaps","For every anomaly alert, check whether a usage session is active, whether flow history shows abnormal volume, and whether temperature is significantly above cold baseline; anomalies with high flow, elevated temperature, and no overlapping session are scored as highly likely leaks.",3,"Elevated warm flow without sessions signals leaks during idle periods, implying occupancy gaps."
Detection of hot-water leaks during unoccupied hours,"Use usage logs to find hours with no scheduled use, then flag anomaly alerts where flow history shows sustained low-to-moderate flow and temperature trends are warm; these events reveal hidden hot-water leaks occurring when no legitimate session is running.",5,"Flags warm flow during no-use windows, strongly exposing absence/away periods."
Energy impact estimation of anomaly events per day,"For each anomaly alert, integrate the abnormal portion of the flow rate history and combine it with the temperature above cold baseline, then aggregate by day; this quantifies how much extra thermal energy is wasted by abnormal usage beyond what is recorded as normal sessions.",2,"Aggregates daily energy waste from anomalies; operational with minimal personal detail."
Distinguishing scalding-risk anomalies from benign volume spikes,"Use anomaly alerts as markers, then inspect flow and temperature during each alert and see whether they overlap a usage session; high flow combined with temperatures above a scald threshold during active sessions indicates scalding-risk events, whereas cold or lukewarm spikes without users are benign volume anomalies.",3,"Identifies scald-risk events in active sessions, reflecting risky user conditions."
Heater capacity stress detection under abnormal demand,"When multiple usage sessions overlap in the logs and total flow rises sharply, check if anomaly alerts fire and temperature trends dip below normal setpoints; this pattern shows the heater being stressed beyond capacity during abnormal demand peaks.",2,"Assesses system stress under overlapping sessions; mostly operational load insights."
Progressive heater degradation revealed by anomaly–temperature patterns,"Compare historical anomaly alerts across months for similar session types and flow levels; if later anomalies show larger drops in temperature during normal or only slightly abnormal flow, it indicates progressive heater degradation.",2,"Tracks heater health over time with anomalies; equipment-focused, low personal exposure."
Detection of user-end thermal shocks caused by upstream anomalies,"If an anomaly alert marks a sudden system change, inspect concurrent temperature trends within active usage sessions; steep temperature shifts during those alerts, combined with unchanged individual fixture flow histories, indicate upstream anomalies causing thermal shock to users.",3,"Links upstream events to thermal shocks during sessions, indicating when users were impacted."
Short-session anomaly detection indicating extreme behaviors,Identify anomaly alerts that lie within very short usage sessions where flow rapidly spikes and temperature hits or approaches extreme values; these events suggest extreme user behaviors (quick blast of very hot or cold water) rather than infrastructure failures.,4,"Flags very short sessions with extreme temps/flow, highlighting unusual user behavior."
Cold-line anomaly vs heater fault discrimination,"For anomaly alerts, if flow rate is abnormal but temperature remains low or falls below normal across multiple sessions, the issue is more likely a cold-line fault or supply issue; if normal or high temperatures fail to be reached despite abnormal flow, heater or mixing faults are more probable.",2,"Differentiates cold-line vs heater faults using temps; technical focus with limited behavioral data."
