inference,Description,score,short rationale
Per-session comfort–efficiency profile with verified presence,"For each usage log session, intersect its duration with periods of continuous proximity and analyze the corresponding flow rate and temperature; this yields a comfort–efficiency profile showing how much water and heat is used while a user is actually present under their chosen temperature.",4,"Profiles comfort and resource use tied to presence and temperature, revealing individual habits."
Cold-start waste with user waiting for warm water,"When proximity shows a user has arrived and a session has started, measure flow volume from the flow history until temperature reaches the user’s typical comfort band; this volume is cold-start waste incurred while the user waits near the fixture.",3,"Captures waiting behavior and comfort band, moderately exposing user experience."
Detection of water left running after user departure,"Within a usage session, identify intervals where flow remains above a threshold and temperature is stable, but proximity shows the user has left; this combination reveals water and energy wasted when the fixture is left running without anyone present.",4,"Shows water left on after departure, highlighting specific user lapses."
True dwell time vs logged session length,"Compare the total session duration in usage logs with the interval from first to last proximity activation, then overlay flow and temperature; the difference shows how much of the logged session is actual user dwell with meaningful water use and at what temperature.",4,"Measures actual dwell vs logged time with comfort context, revealing detailed presence patterns."
Hands-free vs manual usage patterns under thermal load,"Sessions where flow on/off transitions are tightly aligned with proximity activations and stable comfort temperature peaks indicate hands-free usage, whereas sessions with weaker proximity–flow timing but similar temperature patterns point to manual operation.",3,"Infers control style from presence/flow/temperature timing, modest behavioral insight."
Two-phase shower segmentation (wash vs rinse) with presence confirmation,"In long sessions with continuous proximity, use flow spikes and temperature shifts to separate a hotter, possibly lower-flow wash phase from a slightly cooler or higher-flow rinse phase, providing a structured view of shower routines.",4,"Segments personal shower phases using presence, flow, and temperature, revealing routine details."
Detection of efficient ‘water off while soaping’ behavior,"Within a session, look for intervals where proximity shows the user is present and temperature remains in the comfort band, but flow drops nearly to zero; these intervals indicate efficient behavior where users pause water while actively soaping or scrubbing.",4,"Flags conservation behavior during presence, profiling user efficiency choices."
Detection of inefficient ‘standing under running water’ behavior,"Find periods where proximity indicates continuous presence, temperature is in the comfort range, and flow remains high without significant variation; such stretches indicate time spent mostly standing under running water with limited active washing.",4,"Identifies prolonged high-flow presence, exposing wasteful personal habits."
Comfort temperature adaptation by time of day with presence-filtering,"Group sessions by time-of-day from usage logs, then only consider periods where proximity is active and flow is non-zero; temperature distributions in these windows reveal how users adjust comfort temperature at different times (e.g., hotter night showers).",4,"Reveals time-of-day comfort preferences tied to presence and use."
Seasonal comfort and conservation tradeoff analysis,"Across seasons, compare sessions of similar duration and presence patterns; analyze whether users choose higher temperatures and longer durations (higher flow integration) in colder months, mapping how thermal comfort preferences affect water and energy usage.",3,"Seasonal comfort vs usage trends; aggregated but still reflects personal preferences over time."
Per-user (or per-routine) comfort signature without explicit IDs,"Cluster sessions based on start times and durations (logs), presence patterns (continuous vs intermittent), typical flow trajectories, and temperature bands while proximity is active to infer distinct comfort signatures for recurring routines without needing explicit user identities.",5,"Builds implicit user/routine profiles from presence, flow, and temperature, strongly identifying behavior."
Detection of short ‘test and adjust’ episodes before full use,"Identify short usage log entries where proximity is present, temperature changes rapidly, and flow is modest; these are test-and-adjust episodes that typically precede a later full-length session at a settled temperature.",3,"Spots brief pre-use testing behavior, modestly exposing routine starts."
Estimating pre-use flushing volume guided by presence and temperature,"For each session, isolate the period after proximity begins and flow starts but before temperature stabilizes in the user’s comfort band; integrating flow here gives an estimate of flushing volume users incur to obtain clean or warm water.",3,"Quantifies flushing before comfort reached, reflecting user patience and habits."
Detecting sensor misalignment via comfort-like usage without presence,"Sequences of stable warm temperature, typical shower-length flow profiles, and logged sessions that lack matching proximity activity suggest that the proximity sensor is misaligned or blind to the area where users actually stand during normal use.",2,"Primarily finds sensor blind spots; limited incremental personal exposure."
