inference,description,score,short rationale
Freeze-burst likely,"Leak alerts occur shortly after water/pipe temperature drops below 0 °C for several hours, indicating a freeze-induced crack or burst.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Pre-freeze risk window,Sustained temperatures in the 0–3 °C range without alerts suggest imminent freeze risk; proactive insulation or trickle flow may prevent future activations.,3,Primarily leak/thermal dynamics with limited link to identity or routines.
Thaw-release leak,"No alerts during deep freeze, followed by multiple alerts when temperature rises above 0 °C, indicates an ice plug thawing and releasing accumulated water.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Hot-line expansion stress,"Alerts are preceded by rapid temperature rise (e.g., boiler or heater on), suggesting thermal expansion stressing joints in hot-water lines.",4,Exposes temporal usage or device/location cues that can profile behavior.
Cold-supply fracture,"Sharp temperature drop coincides with leak activation and long alert duration, consistent with a crack on a cold-water feed line.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Transient thermal-leak coupling,"Alerts begin during temperature spikes but resolve when temperature returns to baseline, implying expansion/contraction opens and closes a marginal joint.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Long-duration freeze damage,Extended alert durations during sub‑zero temperatures indicate a persistent leak from a freeze-damaged section rather than a splash/false positive.,1,Diagnostic/false-positive indications; minimal privacy risk.
Rapid dT/dt stress,"Leak activations correlate with large, fast temperature changes (high |dT/dt|), suggesting pressure or joint stress during heating/cooling transitions.",3,Primarily leak/thermal dynamics with limited link to identity or routines.
Nighttime cold cluster,"Alerts cluster in the coldest hours (late night/early morning) when temperatures are lowest, indicating freeze susceptibility.",5,Strongly reveals routines/occupancy or appliance/location patterns enabling profiling.
Seasonal cold vulnerability,Higher alert frequency during cold months compared to warm months indicates infrastructure vulnerable to seasonal freezing.,3,Primarily leak/thermal dynamics with limited link to identity or routines.
Hot-water appliance leak,"Temperature readings rise notably at activation time and remain elevated during the alert, suggesting a leak from a hot-water source (e.g., heater, dishwasher).",4,Exposes temporal usage or device/location cues that can profile behavior.
