Inference,Description,Score,Short rationale
Nighttime flow anomaly detection,"Alerts occurring during hours of expected inactivity indicate leaks, valve failures, or unauthorized water usage.",4,Encodes “should be inactive” windows; nighttime anomalies reveal absence/occupancy and possible unauthorized use.
Morning usage surge inference,Repeated anomalies at the start of the day correlate with high-demand appliance or fixture use.,3,Captures morning peak routines and high-demand fixtures/appliances.
Weekend vs. weekday anomaly asymmetry,Differences in anomaly frequency across weekdays infer variations in occupant activity patterns.,3,Reveals work-week vs weekend activity patterns and lifestyle rhythm.
Seasonal flow anomaly trend,Increased anomalies during hot seasons suggest heightened water use or pipe stress.,2,"Mostly indicates climate-driven usage or pipe stress, weak per-person linkage."
Sustained anomaly duration,Long anomaly intervals imply continuous flow from pipe bursts or stuck valves.,2,Long high flow shows bursts/stuck valves; property risk more than behavior.
Short anomaly bursts,Brief spikes indicate appliance cycle changes or pressure shocks.,2,Brief spikes tied to cycles/pressure shocks; mild appliance/usage hint only.
Anomaly onset time precision,Repeated anomalies at identical times suggest scheduled systems like irrigation.,3,"Fixed-time anomalies (e.g., irrigation) encode precise schedules of automated use."
Flow anomaly clustering,Clusters of alerts indicate progressive system failure or cascading events.,1,Clusters show progressive system failure; no meaningful behavior profiling.
Pre-event anomaly patterning,Flow spikes before high-use periods may reflect pressure buildup or regulator faults.,2,"Pre-high-use spikes mostly speak to pressure/regulator faults, weak behavioral link."
Flow decay timing,The speed at which anomalies resolve indicates valve responsiveness.,1,Indicates valve responsiveness; purely mechanical.
High-magnitude spike identification,Very large anomalies reveal major bursts or uncontrolled discharge.,1,"Major bursts/uncontrolled discharge; severity of event, not user behavior."
Low-magnitude persistent anomalies,Small but frequent anomalies suggest micro-leaks or slow-running fixtures.,2,Micro-leaks/slow fixtures; property condition with minimal behavior signal.
Flow variance analysis,Increased fluctuation amplitude indicates unstable water pressure.,1,Unstable pressure characterization; hydraulic only.
Sharp-ramp anomaly pattern,Rapid flow escalation suggests sudden pipe failure.,1,Sudden flow escalation → pipe failure; structural risk.
Plateaued anomaly profile,Sustained high-flow anomalies indicate continuous open flow like stuck toilet valves.,2,"Continuous open flow (e.g., stuck toilet); some implicit fixture-use negligence."
Flow overshoot effect,A spike above typical maximum flow implies water hammer or pump surges.,1,Water hammer/pump surges; physical phenomenon.
Pressure-drop-correlated anomaly,Flow spikes followed by sudden drops suggest burst-pipe depressurization.,1,Burst-pipe depressurization; infrastructure health.
Anomaly signature uniqueness,Repeated anomaly shapes fingerprint specific appliance behaviors.,3,Appliance “fingerprints” reveal which appliances exist and how they run.
Active leak inference,Continuous abnormal flow during inactivity strongly indicates downstream leakage.,3,Continuous abnormal flow during inactivity encodes away/asleep windows and leak presence.
Burst pipe detection,Sudden sustained high-flow anomalies reflect catastrophic pipe rupture.,2,"Catastrophic event; large property impact, little direct behavioral detail."
Toilet fill valve failure detection,Moderate continuous flow signals a stuck float or fill valve.,2,Shows faulty toilet hardware and moderate continuous use; weak behavior link.
Drip-to-stream progression detection,Flow anomalies that intensify over time suggest evolving leaks.,2,Leak evolution over time; asset degradation more than behavior.
Appliance hose rupture detection,Large sustained flows followed by nonzero baselines indicate hose rupture.,2,"Large sustained flow from hose; event severity, limited profiling."
Outdoor fixture exposure,Anomalies during irrigation hours suggest faulty irrigation valves or pipes.,3,Irrigation-hour anomalies reveal outdoor watering schedules and habits.
Backflow event inference,Reverse-flow signatures imply siphoning or back-pressure events.,1,Hydraulic backflow patterns; non-personal.
