Inference,Description,score,short rationale
Quadruple-confirmed leak events,"Incidents where a flow anomaly, rising moisture, temperature deviation, and a leak detection entry all occur together in the same zone and time window form the highest-confidence, quadruple-confirmed leak events.",5,"Fully detailed incident with zone, timing, and context; high reconstruction and profiling risk."
Freeze–burst leak classification with physical validation,"Sustained sub-freezing temperatures followed by strong flow anomalies, rapid moisture increase, and leak detection indicate freeze–burst failures rather than other leak types.",4,"Freeze-specific failure with timing and location; limited occupant inference."
Overheating-induced leak classification,"High pipe temperatures coinciding with flow anomalies, moisture spikes, and leak detection mark leaks arising from overheating of seals, joints, or heaters rather than mechanical damage alone.",4,"Overheat-driven incidents tied to activation/detection timelines; event-specific."
Distinguishing condensation from cold-pipe leaks,"At low temperatures near dew point, moisture increases without flow anomalies or leak detections suggest condensation, whereas the presence of both flow anomalies and leak detections confirms genuine cold-pipe leaks.",3,"Separates condensation vs. leaks; moderate context sensitivity."
Estimating leak severity under thermal influence,"Combining flow anomaly magnitude, peak moisture level, duration of leak detection, and concurrent temperature context yields a thermally adjusted severity index for each leak event.",4,"Per-incident severity with temperature context; supports detailed reconstruction."
Identifying leaks masked by high demand and thermal effects,"During high-usage periods, small flow anomalies may be ambiguous, but when they occur at extreme temperatures and are accompanied by localized moisture and leak detection, they reveal leaks hidden under demand and thermal variability.",4,"Finds leaks amid usage/thermal noise with location and timing; moderate-to-high sensitivity."
Thermal-sensitivity profiling of leak hotspots,Zones that repeatedly show leaks (in detection history) only when temperature is extreme and are accompanied by flow anomalies and moisture rises can be classified as thermally sensitive hotspots requiring insulation or rerouting.,4,"Maps zones vulnerable under thermal stress; location and history sensitive."
Differentiating slow cold-weather seepage from sudden bursts,"Low-magnitude, long-duration flow anomalies with gradual moisture rise and eventual leak detection at low temperatures indicate cold-weather seepage, whereas high, short-lived flow anomalies with sharp moisture spikes and leak detection at stable or high temperatures indicate sudden bursts.",5,"Detailed severity/type classification with timing; high reconstruction specificity."
Leak onset staging via temporal ordering of four signals,"Examining whether temperature extremes precede flow anomalies, moisture rise, and leak detection clarifies whether thermal stress is the root cause, with sequences like temperature drift → flow anomaly → moisture → leak indicating multi-stage failure.",4,"Multi-stage timeline clarifies root cause; strong incident fingerprint."
Detecting leaks in insulated or buried segments,Flow anomalies and leak detections with moisture increases but minimal local temperature change indicate leaks in insulated or buried segments where thermal signals are damped.,4,"Reveals hidden/insulated leak locations; event-specific."
