Inference,Description,Criticality factor,Reason
Temporal clustering of events,"Leak detections grouped around specific times reveal recurring triggers such as user routines, pump schedules, or environmental patterns.",3,Time-of-day leak patterns can reveal rough daily routines/usage cycles.
Seasonal vulnerability pattern,"Clusters of leaks in specific months reflect susceptibility to seasonal humidity, rainfall, or temperature cycles.",2,"Mostly climate/building sensitivity by season, weak individual linkage."
Night-day leak asymmetry,A higher frequency of leaks at night suggests pressure buildup when most fixtures are closed and background pressure is higher.,3,"Implies night-time pressure/usage differences, hints at sleep/home routines."
Post-event leak onset,"Leaks detected immediately after showers, flushing, or appliance cycles indicate load-driven stress points in the plumbing system.",3,Links leaks to showers/flushing/appliance cycles → usage timing of fixtures.
Leak interval contraction,A decreasing time gap between consecutive leaks suggests accelerating degradation of the water distribution system.,2,Indicates system degradation more than behavior; mild owner-level risk.
Recovery time between leaks,"Long intervals between detections indicate relatively stable conditions, whereas short intervals point to chronic vulnerability.",2,"Stability vs chronic issues; mostly infrastructure, little behavioral info."
Temperature-linked leak timing,Leak timings that align with heating or cooling cycles imply expansion/contraction stress on pipes and joints.,2,"Tied to HVAC cycles; indirectly hints at comfort/operation, but weakly."
Holiday or low-activity leak timing,"Leaks during periods of low human activity or absence suggest failures tied to autonomous systems (e.g., irrigation, automatic pumps) rather than manual use.",4,Directly tied to absence/low activity; strong occupancy/away patterns.
Recurring weekly patterns,Leak occurrences on specific weekdays indicate alignment with scheduled building operations or maintenance routines.,3,"Weekly rhythm (e.g., specific days) reflects routines/operations schedule."
Time-of-onset precision,Leaks starting at nearly identical times across days or weeks imply a strong connection to automated pressure or pump schedules.,2,Strong automation/pump schedule signal; low direct personal behavior.
Leak hotspots,"Areas with consistently high leak detections reveal structural weakness, aging infrastructure, or poor-quality installation in those zones.",2,Structural weakness localization; mostly building-level sensitivity.
Adjacent-sensor activation chain,Sequential leak detections in neighboring sensors highlight the direction and path of water spread across surfaces or spaces.,1,Just physical spread path; no meaningful behavior/identity signal.
Vertical propagation mapping,"Leak detections first on upper floors and then on lower floors reveal downward seepage paths through walls, ceilings, or shafts.",1,Gravity-based seepage path; structural only.
Boundary saturation limit,"When leak spread consistently stops at specific sensors, it indicates the existence of structural barriers or transitions in material properties.",1,Indicates barriers/material transitions; not about people.
Hidden cavity identification,Leak detections that are spatially disconnected from expected flow paths suggest water accumulation in hidden voids or cavities.,2,Reveals hidden structural issues that may affect property value.
Cross-room correlation,"Repeated detections in adjacent rooms imply shared plumbing lines, common junctions, or interconnected structural weaknesses.",1,Shared plumbing/junctions; minimal behavioral signal.
Floor-level vulnerability,Disproportionate leak detections on certain floors indicate uneven structural resilience or localized pressure stress.,2,Highlights vulnerable floors/units; could affect specific occupants indirectly.
Multiple-source leak detection,Simultaneous detections at non-adjacent locations indicate multiple independent leak sources rather than spread from a single origin.,1,"Distinguishes multiple leaks vs one; physical, not behavioral."
