Inference,Description,Score,Short rationale
Daily moisture cycle detection,Repeated rise and fall in moisture levels within a day reveals environmental humidity cycles or daily water-use patterns.,3,"Encodes daily humidity and water-use rhythms (e.g., morning/evening activity)."
Moisture accumulation rate,"The speed at which moisture levels increase indicates the intensity or strength of a leak, seepage source, or wetting event.",1,"Mainly intensity of leak/wetting; structural, not behavioral."
Moisture evaporation rate,"The speed at which moisture levels decrease reflects ventilation quality, ambient temperature, and material drying capacity.",2,Reflects ventilation/drying quality; mild link to how space is operated.
Persistent baseline elevation,"A consistently elevated moisture level suggests chronic humidity, long-standing dampness, or unresolved moisture intrusion.",2,Chronic damp/humidity; property condition more than individual behavior.
Intermittent moisture spikes,"Irregular sudden increases in moisture indicate episodic water exposure, such as spills, appliance discharge, or rainfall seepage.",2,"Episodic exposure (spills, appliance discharge, rainfall); weak behavior link."
Night–day moisture asymmetry,"Higher moisture levels at night imply reduced ventilation, lower temperatures, or nightly condensation formation on surfaces.",3,"Night vs day pattern can reflect occupancy, window/AC usage habits."
Seasonal moisture trend,Long-term logs showing higher moisture during specific months reflect seasonal humidity variations or monsoon-driven saturation.,2,Seasonal humidity/monsoon pattern; mostly climatic vulnerability.
Moisture saturation plateau,Moisture reaching a stable maximum level suggests that the surrounding material or environment is fully saturated.,1,Just indicates saturation of materials; no behavioral content.
Moisture rebound pattern after drying,Moisture returning after an apparent drying phase indicates trapped internal moisture or recurring intrusion sources.,1,Trapped moisture/recurring intrusion; structural.
Long-term drying inefficiency,"Very slow reduction of moisture levels over extended periods indicates poor drainage, limited airflow, or cold surfaces that hinder evaporation.",2,Poor drainage/airflow; property performance information.
Moisture gradient detection,Differences in moisture levels between nearby sensors show the direction and magnitude of moisture migration.,1,Direction/magnitude of moisture migration; physical only.
Horizontal moisture spread pattern,Sequential moisture increases among sensors on the same level infer lateral water movement across floors or walls.,1,Lateral spread across floors/walls; structural.
Vertical moisture spread pattern,"Higher moisture above versus below indicates rising damp, while higher moisture below indicates gravity-driven seepage from above.",1,Rising damp vs gravity seepage; physical phenomenon.
Material permeability indicator,Different rates of moisture increase across adjacent sensors reveal variations in absorption and permeability of local materials.,1,Absorption/permeability differences; material property.
Localized dampness hotspots,Sensors with chronically higher moisture values indicate structural damp zones or areas with poor sealing or insulation.,2,Persistent damp zones; could affect specific rooms/units.
Moisture containment boundary,Moisture increasing in one sensor but remaining low in neighbors suggests effective barriers preventing water spread.,1,Shows effectiveness of barriers; purely structural.
Hidden cavity saturation detection,Unexpectedly high moisture in isolated sensors suggests concealed voids or cavities where water accumulates.,2,Reveals concealed voids with water; asset-level sensitivity.
Cross-room moisture migration inference,Coordinated moisture changes across neighboring sensors indicate water traveling beneath floors or through partitions.,1,Water moving under floors/through partitions; structural path.
Capillary rise detection,Slow upward moisture increases in vertically arranged sensors indicate capillary action rather than direct leakage.,1,"Capillary action; physical, not behavioral."
Moisture insulation effectiveness,Low moisture readings next to high readings indicate that insulation or barriers are successfully limiting moisture transfer.,1,Insulation/barrier performance; non-personal.
Early-stage leak prediction,Slow but continuous moisture growth at a point suggests micro-seepage before a fully detectable leak occurs.,2,Micro-seepage prediction; property/maintenance info.
Intensity classification of damp events,"The rate and magnitude of moisture rise allow classification into minor seepage, moderate dampness, or severe wetting.",1,Classifying severity (minor/moderate/severe); no behavioral angle.
Water pooling indicator,Moisture levels that rise quickly and then remain high suggest pooling or standing water near the sensor.,1,Pooling/standing water presence; structural risk only.
Dry-spill differentiation,"Moisture that rises briefly and then rapidly falls indicates small, self-limited water exposure such as spills or splashes.",2,"Shows small, self-limited exposure (spills); mild behavior trace."
Chronic dampness signature,Stable medium moisture values over long durations signal persistent damp conditions without active flooding.,2,Persistent medium dampness; property hygiene/condition.
Humidity-condensation distinction,Gradual moisture rise without sharp peaks suggests condensation or airborne humidity rather than direct liquid contact.,1,Distinguishes condensation vs direct water; physical.
Porosity estimation,The speed and extent of moisture absorption into materials reveal their relative porosity and capacity to hold water.,1,Material porosity; non-personal.
Moisture shock events,"Sudden large moisture spikes indicate abrupt water contact events, such as pipe bursts or significant spills.",1,"Sudden large spikes (bursts/spills); event severity, not behavior."
Moisture retention capacity,The duration for which elevated moisture persists after a peak reveals how long the environment or material retains water.,1,How long materials hold water; physical property.
Flood-recession timing,The decay curve of moisture levels after sharp spikes reveals drainage performance and the time needed for conditions to normalize.,2,Drainage performance/timing; building vulnerability.
Ventilation efficiency estimation,"Faster drops in moisture after a wetting event imply effective ventilation, while slow drops imply stagnant air.",2,Airflow/ventilation quality; mild operational/usage signal.
Ambient humidity correlation,Moisture increases without clear wetting events suggest elevated ambient humidity affecting sensor surroundings.,1,Follows ambient humidity; environment-level only.
Condensation risk detection,Moisture levels that increase during cooler periods or at night indicate surface condensation risk.,1,"Risk of condensation; physical risk, not personal."
