Inference,Description,Score,Short rationale
Freeze-threshold proximity detection,Temperature readings approaching freezing indicate pipes are at immediate risk of ice formation.,1,Just indicates freezing risk on pipes.
Rapid temperature drop warning,A sudden drop in temperature suggests exposure to cold air or a failing insulation barrier.,1,Structural exposure / insulation failure hint only.
Sustained sub-freezing exposure,Extended time below freezing increases the chance of ice buildup and potential pipe bursts.,1,"Duration of cold; pipe damage risk, not behavior."
Freeze–thaw cycling inference,Repeated temperature crossings around freezing weaken pipe material due to expansion and contraction.,1,"Material stress cycles, no user info."
Localized freeze zone identification,Specific sensors consistently showing lower temperatures reveal vulnerable cold spots.,2,Reveals particularly vulnerable pipe locations in the property.
Freeze onset rate analysis,"The speed of cooling indicates how quickly the pipe loses heat, informing insulation effectiveness.",1,"Cooling speed → insulation effectiveness, not behavior."
Pre-freeze thermal lag detection,A gradual temperature decline suggests partial insulation; a sudden drop suggests direct cold exposure.,1,Partial vs direct exposure; structural.
Insulation effectiveness assessment,Stable temperatures despite external fluctuations indicate good insulation.,1,Quality of insulation; purely physical.
Insulation failure detection,Sudden cold readings in insulated regions signal insulation failure.,2,Pinpoints failed insulated regions; property vulnerability.
Heat-leak mapping,Higher temperatures in certain pipe sections reveal proximity to heat sources.,1,Shows where pipes are near heat sources; layout info.
Thermal gradient identification,Differences between temperature sensors show where heat accumulates or escapes.,1,Where heat accumulates/escapes; structural only.
Cold-spot mapping,Persistently low readings identify the most vulnerable sections to freezing.,2,Identifies persistently cold sections; important for risk but not people.
Thermal bridging detection,Localized cooling patterns indicate conductive pathways such as metal supports.,1,Conductive pathways info; physical.
Buried vs. exposed pipe inference,"Exposed pipes show greater temperature swings, while buried pipes remain more stable.",1,Exposure vs buried state; installation detail.
Hot water usage event detection,Temperature spikes signal activation of hot-water fixtures or appliances.,3,Directly reflects times hot-water fixtures/appliances are used.
Cold water surge identification,Sudden temperature drops reveal cold-water flow initiation.,3,Maps cold-water use events and timing.
Flow vs. no-flow differentiation,Dynamic temperature fluctuations indicate flowing water; stable readings indicate stagnant water.,2,Indicates when water is moving vs stagnant; mild occupancy proxy.
Simultaneous multi-fixture use inference,Complex temperature curves reveal concurrent water use across fixtures.,3,"Reveals combined fixture usage patterns (e.g., shower + sink)."
Water heater recovery pattern,Gradual temperature rise after use indicates heater recharge cycles.,3,Shows when heavy hot-water use happens via recharge cycles.
Low-flow trickle signature,Slow temperature drift suggests micro-leaks or low-volume trickles.,2,Suggests micro-leaks/low trickles; property condition with weak behavior link.
Ambient cold intrusion detection,Temperature drop during weather shifts reveals cold-air intrusion near pipes.,2,Shows cold-air intrusion spots; building envelope issue.
Diurnal temperature cycle mapping,Temperature curves that match outdoor temperature cycles indicate insufficient thermal buffering.,2,"Indicates pipes track outdoor cycles → poor buffering, little behavior."
Weather–pipe temperature correlation,Strong correlation suggests pipes are directly exposed to ambient conditions.,1,Exposure to ambient weather; structural.
Subsurface thermal stability inference,Minimal variation suggests pipes are buried or thermally protected.,1,Buried/thermally protected pipes; layout only.
Wind-driven cooling effect,Rapid cooling rates indicate air-exposed pipe segments affected by wind.,1,Wind-exposed segments; physical.
Cold-draft detection,Sharp cooling events reveal new or worsening drafts near plumbing.,2,Reveals drafts near plumbing; property envelope details.
Pipe material heat retention signature,Fast temperature changes suggest metal pipes; gradual changes suggest plastic.,1,Infers pipe material; non-personal.
Thermal expansion stress detection,Consistently high readings indicate expansion stress on joints.,1,High temps stressing joints; structural.
Thermal shock vulnerability,Extreme temperature swings reveal susceptibility to stress fractures.,1,Extreme swings → stress fractures; no behavior.
Residual heat dissipation rate,Cooling curves after hot flow reveal thermal conductivity and pipe wall thickness.,1,Cooling curves reveal thermal conductivity; material-focused.
Material fatigue progression,Repeated heating/cooling cycles indicate long-term fatigue risk.,1,Fatigue risk from cycles; structural.
Hot spot identification,Persistent hot zones indicate malfunctioning appliances or unintended heating.,2,Persistent hot zones may indicate always-on or malfunctioning devices.
Thermal inversion signal,Rapid warming after deep cold suggests ice plug melting and imminent burst risk.,1,Ice plug melting risk; pipe condition only.
Ice-plug formation inference,"Flat, low-temperature readings suggest frozen, stagnant sections.",1,Frozen stagnant sections; structural.
Pre-burst pressure buildup indicator,Temperature anomalies paired with reduced flow imply freeze blockage.,1,Freeze blockage and pressure; system health.
